,web-scraper-order,web-scraper-start-url,userID,userID-href,name,uploads,subscribers,videoviews,country,channeltype,usercreated,grade,YouTube_Link,YouTube_Link-href,TwitterHandle,TwitterHandle-href,InstagramHandle,InstagramHandle-href,MonthlyEarnings,YearlyEarnings
485,1553040479-4517,https://socialblade.com/youtube/top/5000/mostsubscribed,sTaXxCraft,https://socialblade.com/youtube/c/staxxcraftt,sTaXxCraft,1953,7271297,1635125348,ES,Games,"Nov 27th, 2011",B+,,https://youtube.com/channel/UCRTOI5zhwFU-1eooSzgHAHw,,https://www.instagram.com/bystaxx/,,https://plus.google.com/102711840556789492595,€2.7K - €42.8K,€32.1K - €514K
486,1553040396-4496,https://socialblade.com/youtube/top/5000/mostsubscribed,Neha Kakkar,https://socialblade.com/youtube/user/nehakakkarofficial,Neha Kakkar,79,7266887,612020419,IN,Music,"Oct 22nd, 2012",B+,https://youtube.com/channel/UCicMnWThgzNjUmqpd-nUTXQ,,https://twitter.com/iamnehakakkar,,,,€6.2K - €98.7K,€74K - €1.2M
487,1553040341-4483,https://socialblade.com/youtube/top/5000/mostsubscribed,Zee News,https://socialblade.com/youtube/user/zeenews,Zee News,96428,7263596,1821053247,IN,News,"Jun 19th, 2007",A,https://youtube.com/channel/UCIvaYmXn910QMdemBG3v1pQ,,https://twitter.com/zeenews,,,,€16.5K - €264.2K,€198.2K - €3.2M
488,1553040467-4514,https://socialblade.com/youtube/top/5000/mostsubscribed,emma chamberlain,https://socialblade.com/youtube/c/emmachamberlain,emma chamberlain,177,7254334,618698151,US,Entertainment,"Jun 13th, 2016",B+,,https://youtube.com/channel/UC78cxCAcp7JfQPgKxYdyGrg,,https://twitter.com/emmachambie,,https://www.instagram.com/_emmachamberlain,€9K - €143.9K,€107.9K - €1.7M
489,1553040459-4512,https://socialblade.com/youtube/top/5000/mostsubscribed,Rae Sremmurd,https://socialblade.com/youtube/c/raesremmurd,Rae Sremmurd,38,7244651,18993968,US,Entertainment,"Dec 27th, 2013",B-,,https://youtube.com/channel/UC9iDw30SeRSm18kT98F5iAA,,https://instagram.com/raesremmurd,,https://plus.google.com/103557178749793965049,€34 - €551,€414 - €6.6K
490,1553040451-4510,https://socialblade.com/youtube/top/5000/mostsubscribed,YOGSCAST Lewis & Simon,https://socialblade.com/youtube/c/-yogscast,YOGSCAST Lewis & Simon,4652,7235884,3966262779,GB,Games,"Jul 9th, 2008",B+,,https://youtube.com/channel/UCH-_hzb2ILSCo9ftVSnrCIQ,,https://www.instagram.com/yogscast/?hl=en,,https://plus.google.com/115819511904120914599,€3.7K - €59.6K,€44.7K - €715.6K
491,1553040473-4515,https://socialblade.com/youtube/top/5000/mostsubscribed,AWE me,https://socialblade.com/youtube/c/aweme,AWE me,387,7232729,793893186,US,Tech,"Jan 11th, 2013",B,,https://youtube.com/channel/UCNKcMBYP_-18FLgk4BYGtfw,,https://twitter.com/awemechannel,,https://plus.google.com/105448157747514226558,€1.3K - €20.1K,€15.1K - €240.9K
492,1553040447-4509,https://socialblade.com/youtube/top/5000/mostsubscribed,TeamYouTube [Help],https://socialblade.com/youtube/user/youtubehelp,TeamYouTube [Help],113,7228738,78995184,US,Howto,"May 3rd, 2007",B,,https://youtube.com/channel/UCMDQxm7cUx3yXkfeHa5zJIQ,,https://youtube.com/channel/UCMDQxm7cUx3yXkfeHa5zJIQ,,https://plus.google.com/101430696532471163546,€957 - €15.3K,€11.5K - €183.8K
493,1553040430-4505,https://socialblade.com/youtube/top/5000/mostsubscribed,Mo Vlogs,https://socialblade.com/youtube/c/mo-vlogs,Mo Vlogs,1397,7205978,1849489153,AE,People,"Sep 22nd, 2013",B+,,https://youtube.com/channel/UC_hoQDD6zKcIqpIYLsFbBeA,,https://instagram.com/mo_vlogs_/,,https://plus.google.com/104759986815271679923,€6.8K - €108.7K,€81.5K - €1.3M
494,1553040435-4506,https://socialblade.com/youtube/top/5000/mostsubscribed,Webs & Tiaras - Toy Monster…,https://socialblade.com/youtube/channel/UC0gNKhFMg-bKyNNZ_MB3D9Q,Webs & Tiaras - Toy Monster Compilations,62,7203358,6727576995,CA,Entertainment,"Sep 23rd, 2015",A,,https://youtube.com/channel/UC0gNKhFMg-bKyNNZ_MB3D9Q,,,,https://youtube.com/channel/UC0gNKhFMg-bKyNNZ_MB3D9Q,€55.5K - €888.6K,€666.5K - €10.7M
